nq_id	question	unverifiable_presupposition	trigger_type	annotator1_label	annotator1_comment	annotator2_label	annotator2_comment	document
6292253878764318275	when is made in chelsea available on 4od	there is some point in time that made in chelsea is available on 4od	question word	presup failure	4od only mentioned in the context of other franchise	answerable?	"It is shown on Channel 4's online TV service 4oD" --> so "currently"?	https://en.wikipedia.org//w/index.php?title=Made_in_Chelsea&amp;oldid=837506591
-6928130933034416445	who swore in the new deputy prime minister of australia	there is someone that swore in the new deputy prime minister of australia	question word	presup failure		common sense	this is one of those "common sense" cases, but its not mentioned who swore him in	https://en.wikipedia.org//w/index.php?title=Deputy_Prime_Minister_of_Australia&amp;oldid=837453035
5005483855397408780	which city had the highest number of english and hindi newspapers in 2012 and 2013	some city had the highest number of english and hindi newspapers in 2012 and 2013	question word	presup failure	unverifiable from document	common sense		https://en.wikipedia.org//w/index.php?title=Newspaper_circulation&amp;oldid=815066497
-3676391952457314172	when do sandhill cranes lay eggs in florida	there is some point in time that sandhill cranes lay eggs in florida	question word	presup failure	Doesn't say anything about them laying eggs in Florida in particular	maybe answerable?	seems possible to triangulate the answer. they live in florida and "laying begins between December and August. In migratory populations, laying usually begins in April or May"	https://en.wikipedia.org//w/index.php?title=Sandhill_crane&amp;oldid=820625120
-840010953816598956	who argued that as a philosopher he was committed to radical skepticism	there is someone that argued that as a philosopher he was committed to radical skepticism	question word	presup failure	No evidence that there is such a person	presup failure	underspecified (violates the presups of "he" but not the stated one)	https://en.wikipedia.org//w/index.php?title=Philosophical_skepticism&amp;oldid=836862028
2103641606950563188	who makes the most money in a film	there is someone that makes the most money in a film	question word	presup failure	Not 100% sure	presup failure	the question isn't really a question...? or is that an error.	https://en.wikipedia.org//w/index.php?title=List_of_highest-grossing_films&amp;oldid=819523645
4370358432119411211	who said it's a jungle out there	there is someone that said it's a jungle out there	question word	presup failure	It could be argued that one of the singers have said it, but the raters might have thought that the question was asking about the origin?	presup failure	wrong presup? contextual uniqueness would be violated, but there are many who said this, given the page	https://en.wikipedia.org//w/index.php?title=It%27s_a_Jungle_Out_There&amp;oldid=430251946
3509391156054555322	where are the blueprints for creating a person stored and communication	blueprints for creating a person stored and communication' exists	definite NP existence	presup failure	I don't think such a thing exists	n/a	i don't understand the question	https://en.wikipedia.org//w/index.php?title=Technical_communication&amp;oldid=801714729
-1146423982857064896	when was the last time easter was on april 17	last time easter was on april 17' existed in the past or still exists	definite NP existence	presup failure	It is not verifiable from the document there is a last time (only future times)	presup failure	calendar stops at 2000, but doesn't show any april 17ths	https://en.wikipedia.org//w/index.php?title=List_of_dates_for_Easter&amp;oldid=835274731
-1310656128198993222	what government structure did the aztec and inca have in common	the aztec and inca had some government structure in common	question word	presup failure	No info to verify this presupposition	presup failure	need to link across pages, not enough discussion of aztecs here	https://en.wikipedia.org//w/index.php?title=Inca_Empire&amp;oldid=838241193
-1607786043104437254	when was the sir robert bond bridge built	sir robert bond bridge' existed in the past or still exists	definite NP existence	presup failure	no mention of bridge	presup failure		https://en.wikipedia.org//w/index.php?title=Robert_Bond&amp;oldid=816230749
-1675914373836968775	who sold new hampshire to the king of england	there is someone that sold new hampshire to the king of england	question word	presup failure	unclear if the selling of NH to the king of england happened at all?	presup failure		https://en.wikipedia.org//w/index.php?title=Province_of_New_Hampshire&amp;oldid=813692619
-1769417710762788060	who made the laws in the shang dynasty	there is someone that made the laws in the shang dynasty	question word	presup failure	Could be argued that this is commonsensical?	presup failure	kind of a weird example but can't put my finger on why...	https://en.wikipedia.org//w/index.php?title=Shang_dynasty&amp;oldid=836838164
-185593517429073294	who is the new agent on criminal minds	new agent on criminal minds' is contextually unique	definite NP uniqueness	presup failure	There are many agents and it's unclear whether 'new agent' is unique (does new mean newest?)	presup failure		https://en.wikipedia.org//w/index.php?title=List_of_Criminal_Minds_characters&amp;oldid=838239001
-2061141202947353689	who were the notable filipino sociologist who help in the propagation of the course	notable filipino sociologists who help in the propagation of the course exist	definite NP existence	presup failure		presup failure	this question fails on lost of counts :) "the course" is probs the better presup to call out	https://en.wikipedia.org//w/index.php?title=Category:Filipino_sociologists&amp;oldid=757245086
-3127057223226283870	who had a cousin who was a strong supporter for independence	there is someone that had a cousin who was a strong supporter for independence	question word	presup failure	No info to verify this presupposition	presup failure	page is weird given question	https://en.wikipedia.org//w/index.php?title=John_C._Calhoun&amp;oldid=818976112
-5180376659445177630	when do they blow the shofar on the feast of trumpets	feast of trumpets' exists	definite NP existence	presup failure	Can't verify that there is such a thing.	presup failure		https://en.wikipedia.org//w/index.php?title=Shofar&amp;oldid=814051459
-5502907616280767819	who is the man in the high tower	man in the high tower' exists	definite NP existence	presup failure	It's likely the original question was intended to ask about the man in the high castle. I'm not sure if we should correct for such mistakes when annotating. But the reason that the crowd annotators treated this as unanswerable probably is because 'the man in the high tower' is wrong?	presup failure	i think a clear "did you mean" situation...	https://en.wikipedia.org//w/index.php?title=The_Man_in_the_High_Castle_(TV_series)&amp;oldid=805946337
-7033311344150796695	how many years is a life sentence in delaware	a life sentence lasts for some years in delaware	question word	presup failure	Not sure about the best way to phrase the presuppostion. But the page says 15 years to life? This seems to imply there is no upper limit, but I don't know how life sentences work in the US	presup failure		https://en.wikipedia.org//w/index.php?title=List_of_punishments_for_murder_in_the_United_States&amp;oldid=819417246
-7876944194323027247	when does ross live in monica's apartment	there is some point in time that ross lives in monica's apartment	question word	presup failure	He never did	presup failure		https://en.wikipedia.org//w/index.php?title=Ross_Geller&amp;oldid=806425155
-8035947732442991261	who proposed 30 different suggestions for why crime remained high in some areas	there is someone that proposed 30 different suggestions for why crime remained high in some areas	question word	presup failure	No evidence that there is such a person	presup failure		https://en.wikipedia.org//w/index.php?title=Social_disorganization_theory&amp;oldid=819230502
-8662269166697780610	when does jane find out who her father is	jane finds out who her father is	factive	presup failure	I know for a fact that the presupposition is true, but no evidence to support it in the doc.	presup failure	not really the factive that is triggering this though	https://en.wikipedia.org//w/index.php?title=List_of_Jane_the_Virgin_episodes&amp;oldid=837466375
-8822252317192222810	from where does the concept of justiciability originate for the supreme court	the concept of justiciability for the supreme court originates from somewhere	question word	presup failure	from the doc, it's unclear whether it has some origin	presup failure		https://en.wikipedia.org//w/index.php?title=Justiciability&amp;oldid=822795809
-942917656754067529	how old is rainbow dash in my little pony	there is some age that rainbow dash in my little pony is at	question word	presup failure	Debatable whether it's common sensical since this is a non-human fictional entity	presup failure	no substantive mention of rainbow dash	https://en.wikipedia.org//w/index.php?title=List_of_My_Little_Pony_(1986)_characters&amp;oldid=835983549
1395227941923805820	what does negan mean in the walking dead	negan means something in the walking dead	question word	presup failure	It is odd to me to ask for the meaning of a character name (unless the name's meaning is signifcant, which doesn't seem to be the case)	presup failure		https://en.wikipedia.org//w/index.php?title=Negan&amp;oldid=819383734
2812481562338399156	what is the stock symbol for mars candy	stock symbol for mars candy' exists	definite NP existence	presup failure	No info to verify this in the document. A quick google search reveals that it is a privately owned company and one can't buy stocks. https://investormint.com/investing/how-to-buy-mars-stock	presup failure	not publically traded	https://en.wikipedia.org//w/index.php?title=Mars,_Incorporated&amp;oldid=838432748
3902246620367440424	who do the patriots play on november 5	there is someone that the patriots play on november 5	question word	presup failure		presup failure		https://en.wikipedia.org//w/index.php?title=New_England_Patriots&amp;oldid=819266148
4706514027403005340	who was the crackhead in menace to society	someone was the crackhead in menace to society	question word	presup failure	"Caine carjacks another young black man for his gold Dayton wire wheels and his jewelry, then purchases a large quantity of cocaine that he plans to sell as crack." is the closest statement I can find, but this doesn't mean Caine is a crackhead (I actually don't know what the facts are)	presup failure	discussion of a heroine addict and a crack dealer, but not a crack addict	https://en.wikipedia.org//w/index.php?title=Menace_II_Society&amp;oldid=815506900
4793094071005203784	when was the hanging gardens of babylon completed	hanging gardens of babylon' exists	definite NP existence	presup failure	document states the existence is disputed	presup failure	"It is unclear whether the Hanging Gardens were an actual construction or a poetic creation"	https://en.wikipedia.org//w/index.php?title=Hanging_Gardens_of_Babylon&amp;oldid=816891098
5382924124335095574	what is the name of the goddess of the moon	goddess of the moon' is contextually unique	definite NP uniqueness	presup failure	There are many in the doc	presup failure	this is a nice example	https://en.wikipedia.org//w/index.php?title=List_of_lunar_deities&amp;oldid=821344224
5941674393084883250	how many roles did an actor have in a play	there are some fixed number of roles an actor had in a play	question word	presup failure		presup failure	so vague :)	https://en.wikipedia.org//w/index.php?title=Actor&amp;oldid=836109619
6241663210417089608	when did mulder and scully have a kid	there is some point in time that mulder and scully had a kid	question word	presup failure	From the document, it is unclear whether scully's kid is also mulder's kid	presup failure		https://en.wikipedia.org//w/index.php?title=William_(The_X-Files)&amp;oldid=799964440
6602452442279554082	who owns the one ring in real life	one ring' exists in real life	definite NP existence	presup failure	This is a fun one! I'm pretty sure it doesn't exist	presup failure		https://en.wikipedia.org//w/index.php?title=One_Ring&amp;oldid=836603603
7395316273172607656	where is the aoss button on the ps4	there is some place that is the aoss button on the ps4	question word	presup failure	It is unclear from the page that there is this button is PS4	presup failure		https://en.wikipedia.org//w/index.php?title=AOSS&amp;oldid=803922071
809839098873959288	what is the difference between hastings essential and hastings direct	there is some difference between hastings essential and hastings direct	question word	presup failure	maybe commonsensical (but not obvious) but no mention of difference.	presup failure		https://en.wikipedia.org//w/index.php?title=Hastings_Insurance&amp;oldid=809870780
2407291276473561011	what is an acceptable three letter abbreviation for phenylthiocarbamide	something is an acceptable three letter abbreviation for phenylthiocarbamide	question word	presup failure		retrieval failure	prob need the page on phenylthiocarbamide	https://en.wikipedia.org//w/index.php?title=Three-letter_acronym&amp;oldid=822180388
8818163387508748494	what type of cell doesnt have a cell wall	some type of cell doesnt have a cell wall	question word	presup failure	I think the presupposition is true in reality but not verifiable from doc	retrieval failure	this isn't really about cell walls	https://en.wikipedia.org//w/index.php?title=Mesosome&amp;oldid=802424756
3713026137512849626	when does mlb resume after all star break	there is some point in time that mlb resumes after all star break	question word	presup failure	Unclear from document	retrieval failure	wrong page? no mention of all-star break	https://en.wikipedia.org//w/index.php?title=2017_Major_League_Baseball_All-Star_Game&amp;oldid=805208862
-1942501158267068741	who played the doctor in band of brothers	N/A	N/A	retrieval failure	Wrong actor page retrieved	presup failure	existence failure on "band of brothers"?	https://en.wikipedia.org//w/index.php?title=Gilles_Marini&amp;oldid=819462621
-2208628070140228645	who played the drummer in school of rock	N/A	N/A	retrieval failure		presup failure	existence failure on "school of rock"?	https://en.wikipedia.org//w/index.php?title=Tenacious_D&amp;oldid=837200320
-4445711238437954569	where does brown fall on the color wheel	N/A	N/A	retrieval failure	maybe should have retrieved the page for color wheel?	presup failure	color wheel exists?	https://en.wikipedia.org//w/index.php?title=Brown&amp;oldid=838019699
-3674307809825637189	when did the salvation army come to australia	N/A	N/A	retrieval failure		retrieval failure		https://en.wikipedia.org//w/index.php?title=Safe_Schools_Coalition_Australia&amp;oldid=807291945
-6380198622272313855	who was considered one of the greatest sailors during the history of early china	N/A	N/A	retrieval failure	Doc is about history of Southeast Asia	vague/bad question		https://en.wikipedia.org//w/index.php?title=History_of_Southeast_Asia&amp;oldid=806026138
1303765791162444844	what is the name for the theory that says that public opinion drives the political machine	N/A	N/A	retrieval failure		retrieval failure	probably better as retrieval failure, but could justify presup failure here (i.e., i'd find that a decent explanation here)	https://en.wikipedia.org//w/index.php?title=Argumentation_theory&amp;oldid=810132684
3257756586848124392	what is the benefit to an organism in biochemically transforming citrate	N/A	N/A	retrieval failure	Not 100% sure	retrieval failure		https://en.wikipedia.org//w/index.php?title=Citrate_test&amp;oldid=778096713
5430464048970954862	who has become the first woman chairman of indian bank association	N/A	N/A	retrieval failure		retrieval failure		https://en.wikipedia.org//w/index.php?title=Chanda_Kochhar&amp;oldid=837453416
5808260345659559824	what made the glider to move over the air track device	N/A	N/A	retrieval failure		vague/bad question		https://en.wikipedia.org//w/index.php?title=Wright_Flyer&amp;oldid=834571552
626700217526948251	who plays the crazy lady on days of our lives	N/A	N/A	retrieval failure	unrelated actress	retrieval failure		https://en.wikipedia.org//w/index.php?title=Kristen_Bell&amp;oldid=822108144
7476238343573995416	who authored both on architecture and on painting the first renaissance text on art theory	N/A	N/A	retrieval failure	not a renaissance person	retrieval failure		https://en.wikipedia.org//w/index.php?title=Henry-Russell_Hitchcock&amp;oldid=818874735
-1890847932375454249	why is it important to know the discharge of a river	(there is some reason that) it is important to know the discharge of a river	question word	subjective		subjective	question is vague/subjective, page is just specifically about the jordan river	https://en.wikipedia.org//w/index.php?title=Jordan_River&amp;oldid=822187465
-6436185525254599855	what is a good number of inventory turns	there is a good number of inventory turns	question word	subjective	what is good?	vague/bad question		https://en.wikipedia.org//w/index.php?title=Inventory_turnover&amp;oldid=835857091
4891441691095935384	which statement provides the most accurate description of u.s foreign policy in the 1800s	most accurate description of u.s foreign policy in the 1800s' exists	definite NP existence	subjective	whether the presupposition is valid or not depends on subjective opinion (unless the document states that something is the most accurate, which is not the case)	subjective		https://en.wikipedia.org//w/index.php?title=History_of_United_States_foreign_policy&amp;oldid=838459281
5771614094399239901	what is the perfect height for a model	there is a perfect height for a model	definite NP existence	subjective		subjective		https://en.wikipedia.org//w/index.php?title=Model_(person)&amp;oldid=838100477
-4533992387052459882	how many campaign mission in call of duty ww2	N/A	N/A	unanswerable due to other reasons	not enough information	unanswerable due to other reasons	not sure how to label this, lots of discussion of campaigns, no mention of numbers (idk what the quesion is really asking)	https://en.wikipedia.org//w/index.php?title=Call_of_Duty:_WWII&amp;oldid=822269939
-8834339019395924852	what were two consequences of the french colonization of haiti	there are two consequences of the french colonization of haiti	scalar implicature?	unanswerable due to other reasons	Two implicates exactly two, which fails. Even if there is no violation of the scalar implicature, it is unclear which two consequences should be picked.	presup failure?	?? kind of an awkward one, might be able to justify this as presupposition failure, actually...	https://en.wikipedia.org//w/index.php?title=French_colonial_empire&amp;oldid=820011591
-8968986491949210919	when was english ivy introduced to the us	N/A	question word	unanswerable due to other reasons	All presuppositions are verifiable but the answer just doesn't exist in the document.	common sense		https://en.wikipedia.org//w/index.php?title=Hedera_helix&amp;oldid=834228964#United_States
4117808510086796773	when is it going to snow in florida again	N/A	N/A	unanswerable due to other reasons	can't predict the future	subjective		https://en.wikipedia.org//w/index.php?title=Snow_in_Florida&amp;oldid=821364269
5379254137641377836	what is the golden door in the new colossus	N/A	N/A	unanswerable due to other reasons	There is not enough info in the document to answer this Q	retrieval failure		https://en.wikipedia.org//w/index.php?title=Golden_Door&amp;oldid=679522645
5481907315371574504	how many seats are there in indigo flight	there are some number of seats in indigo flight	question word	unanswerable due to other reasons	Not enough information	presup failure	it depends on the aircraft, so uniqueness violated?	https://en.wikipedia.org//w/index.php?title=IndiGo&amp;oldid=838432323
6532197455707465403	what month has the most rain in florida	N/A	N/A	unanswerable due to other reasons	No stats for aggregate Florida given, only by-region graphs.	answerable		https://en.wikipedia.org//w/index.php?title=Climate_of_Florida&amp;oldid=832705903
-5237981045330666838	when does new season of star trek discovery start	N/A	N/A	unresolved reference	it has already started; probably was a valid q when it was posed	unresolved reference	need to know date when query was issued	https://en.wikipedia.org//w/index.php?title=Star_Trek:_Discovery&amp;oldid=838430258
-5793559544742630812	what is the next comet to pass earth	N/A	N/A	unresolved reference	There is a next comet to pass earth but we don't know which one, because the article only talks about Halley's comet.	unresolved reference	need to know date when query was issued	https://en.wikipedia.org//w/index.php?title=Halley%27s_Comet&amp;oldid=836093095
-6088176150250540572	where will the all star game be played	N/A	N/A	unresolved reference	Answerable but probably because time has passed since this query was entered	unresolved reference	need to know date when query was issued	https://en.wikipedia.org//w/index.php?title=2018_NBA_All-Star_Game&amp;oldid=837978071
-6565072722142624811	where is the acc championship game being played tonight	N/A	N/A	unresolved reference		unresolved reference		https://en.wikipedia.org//w/index.php?title=2017_ACC_Championship_Game&amp;oldid=830146878
2124899561651457407	who has man city lost against this season	N/A	N/A	unresolved reference	"this season"	unresolved reference	need to know time of query	https://en.wikipedia.org//w/index.php?title=2017%E2%80%9318_Manchester_City_F.C._season&amp;oldid=838153389
23398507360239989	where do the arizona cardinals play this week	N/A	N/A	unresolved reference		unresolved reference		https://en.wikipedia.org//w/index.php?title=2017_Arizona_Cardinals_season&amp;oldid=822086267
2618672748548062881	how far is skipper's virginia from here	N/A	N/A	unresolved reference	We don't know what 'here' refers to	unresolved reference		https://en.wikipedia.org//w/index.php?title=Interstate_95_in_Virginia&amp;oldid=804062287
8638227962153971631	where is the world series being held at this year	N/A	N/A	unresolved reference	this year' is temporally bound to the time of the query. This could be answerable if this query was sent in 2017 but retrieval failure if later	unresolved reference	need to know date when query was issued	https://en.wikipedia.org//w/index.php?title=2017_World_Series&amp;oldid=822322227
964200363547354743	what kind of vw jetta do i have	N/A	N/A	unresolved reference		unresolved reference	first person	https://en.wikipedia.org//w/index.php?title=Volkswagen_Jetta&amp;oldid=807086980
