,question,presupposition,trigger_name,document
87,when do sandhill cranes lay eggs in florida,there is some point in time that sandhill cranes lay eggs in florida,when_question,https://en.wikipedia.org//w/index.php?title=Sandhill_crane&amp;oldid=820625120
88,who argued that as a philosopher he was committed to radical skepticism,there is someone that argued that as a philosopher he was committed to radical skepticism,who_question,https://en.wikipedia.org//w/index.php?title=Philosophical_skepticism&amp;oldid=836862028
89,who makes the most money in a film,most money exists,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_highest-grossing_films&amp;oldid=819523645
90,who makes the most money in a film,most money is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_highest-grossing_films&amp;oldid=819523645
91,who makes the most money in a film,there is someone that makes the most money in a film,who_question,https://en.wikipedia.org//w/index.php?title=List_of_highest-grossing_films&amp;oldid=819523645
92,who said it's a jungle out there,it 's a jungle out there,factive_clause_embedding_predicate,https://en.wikipedia.org//w/index.php?title=It%27s_a_Jungle_Out_There&amp;oldid=430251946
93,who said it's a jungle out there,there is someone that said it 's a jungle out there,who_question,https://en.wikipedia.org//w/index.php?title=It%27s_a_Jungle_Out_There&amp;oldid=430251946
94,where are the blueprints for creating a person stored and communication,blueprints for creating a person stored and communication exists,definite_article,https://en.wikipedia.org//w/index.php?title=Technical_communication&amp;oldid=801714729
95,where are the blueprints for creating a person stored and communication,blueprints for creating a person stored and communication is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Technical_communication&amp;oldid=801714729
96,where are the blueprints for creating a person stored and communication,there is some place that are the blueprints for creating a person stored and communication,where_question,https://en.wikipedia.org//w/index.php?title=Technical_communication&amp;oldid=801714729
97,when was the last time easter was on april 17,last time easter was on april 17 exists,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_dates_for_Easter&amp;oldid=835274731
98,when was the last time easter was on april 17,last time easter was on april 17 is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_dates_for_Easter&amp;oldid=835274731
99,when was the last time easter was on april 17,there is some point in time that was the last time easter was on april 17,when_question,https://en.wikipedia.org//w/index.php?title=List_of_dates_for_Easter&amp;oldid=835274731
100,what government structure did the aztec and inca have in common,aztec and inca exists,definite_article,https://en.wikipedia.org//w/index.php?title=Inca_Empire&amp;oldid=838241193
101,what government structure did the aztec and inca have in common,aztec and inca is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Inca_Empire&amp;oldid=838241193
102,what government structure did the aztec and inca have in common,there is something that government structure,what_question,https://en.wikipedia.org//w/index.php?title=Inca_Empire&amp;oldid=838241193
103,when was the sir robert bond bridge built,sir robert bond bridge exists,definite_article,https://en.wikipedia.org//w/index.php?title=Robert_Bond&amp;oldid=816230749
104,when was the sir robert bond bridge built,sir robert bond bridge is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Robert_Bond&amp;oldid=816230749
105,when was the sir robert bond bridge built,there is some point in time that was,when_question,https://en.wikipedia.org//w/index.php?title=Robert_Bond&amp;oldid=816230749
106,who sold new hampshire to the king of england,king of england exists,definite_article,https://en.wikipedia.org//w/index.php?title=Province_of_New_Hampshire&amp;oldid=813692619
107,who sold new hampshire to the king of england,king of england is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Province_of_New_Hampshire&amp;oldid=813692619
108,who sold new hampshire to the king of england,there is someone that sold new hampshire to the king of england,who_question,https://en.wikipedia.org//w/index.php?title=Province_of_New_Hampshire&amp;oldid=813692619
109,who made the laws in the shang dynasty,laws in the shang dynasty exists,definite_article,https://en.wikipedia.org//w/index.php?title=Shang_dynasty&amp;oldid=836838164
110,who made the laws in the shang dynasty,laws in the shang dynasty is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Shang_dynasty&amp;oldid=836838164
111,who made the laws in the shang dynasty,shang dynasty exists,definite_article,https://en.wikipedia.org//w/index.php?title=Shang_dynasty&amp;oldid=836838164
112,who made the laws in the shang dynasty,shang dynasty is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Shang_dynasty&amp;oldid=836838164
113,who made the laws in the shang dynasty,there is someone that made the laws in the shang dynasty,who_question,https://en.wikipedia.org//w/index.php?title=Shang_dynasty&amp;oldid=836838164
114,who is the new agent on criminal minds,new agent on criminal minds exists,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_Criminal_Minds_characters&amp;oldid=838239001
115,who is the new agent on criminal minds,new agent on criminal minds is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_Criminal_Minds_characters&amp;oldid=838239001
116,who is the new agent on criminal minds,there is someone that is the new agent on criminal minds,who_question,https://en.wikipedia.org//w/index.php?title=List_of_Criminal_Minds_characters&amp;oldid=838239001
117,who were the notable filipino sociologist who help in the propagation of the course,notable filipino sociologist who help in the propagation of the course exists,definite_article,https://en.wikipedia.org//w/index.php?title=Category:Filipino_sociologists&amp;oldid=757245086
118,who were the notable filipino sociologist who help in the propagation of the course,notable filipino sociologist who help in the propagation of the course is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Category:Filipino_sociologists&amp;oldid=757245086
119,who were the notable filipino sociologist who help in the propagation of the course,propagation of the course exists,definite_article,https://en.wikipedia.org//w/index.php?title=Category:Filipino_sociologists&amp;oldid=757245086
120,who were the notable filipino sociologist who help in the propagation of the course,propagation of the course is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Category:Filipino_sociologists&amp;oldid=757245086
121,who were the notable filipino sociologist who help in the propagation of the course,course exists,definite_article,https://en.wikipedia.org//w/index.php?title=Category:Filipino_sociologists&amp;oldid=757245086
122,who were the notable filipino sociologist who help in the propagation of the course,course is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Category:Filipino_sociologists&amp;oldid=757245086
123,who were the notable filipino sociologist who help in the propagation of the course,there is someone that were the notable filipino sociologist who help in the propagation of the course,who_question,https://en.wikipedia.org//w/index.php?title=Category:Filipino_sociologists&amp;oldid=757245086
124,who were the notable filipino sociologist who help in the propagation of the course,there is someone that help in the propagation of the course,who_question,https://en.wikipedia.org//w/index.php?title=Category:Filipino_sociologists&amp;oldid=757245086
125,who had a cousin who was a strong supporter for independence,there is someone that had a cousin who was a strong supporter for independence,who_question,https://en.wikipedia.org//w/index.php?title=John_C._Calhoun&amp;oldid=818976112
126,who had a cousin who was a strong supporter for independence,there is someone that was a strong supporter for independence,who_question,https://en.wikipedia.org//w/index.php?title=John_C._Calhoun&amp;oldid=818976112
127,when do they blow the shofar on the feast of trumpets,shofar exists,definite_article,https://en.wikipedia.org//w/index.php?title=Shofar&amp;oldid=814051459
128,when do they blow the shofar on the feast of trumpets,shofar is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Shofar&amp;oldid=814051459
129,when do they blow the shofar on the feast of trumpets,feast of trumpets exists,definite_article,https://en.wikipedia.org//w/index.php?title=Shofar&amp;oldid=814051459
130,when do they blow the shofar on the feast of trumpets,feast of trumpets is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Shofar&amp;oldid=814051459
131,when do they blow the shofar on the feast of trumpets,there is some point in time that they blow the shofar on the feast of trumpets,when_question,https://en.wikipedia.org//w/index.php?title=Shofar&amp;oldid=814051459
132,who is the man in the high tower,man in the high tower exists,definite_article,https://en.wikipedia.org//w/index.php?title=The_Man_in_the_High_Castle_(TV_series)&amp;oldid=805946337
133,who is the man in the high tower,man in the high tower is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=The_Man_in_the_High_Castle_(TV_series)&amp;oldid=805946337
134,who is the man in the high tower,high tower exists,definite_article,https://en.wikipedia.org//w/index.php?title=The_Man_in_the_High_Castle_(TV_series)&amp;oldid=805946337
135,who is the man in the high tower,high tower is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=The_Man_in_the_High_Castle_(TV_series)&amp;oldid=805946337
136,who is the man in the high tower,there is someone that is the man in the high tower,who_question,https://en.wikipedia.org//w/index.php?title=The_Man_in_the_High_Castle_(TV_series)&amp;oldid=805946337
137,how many years is a life sentence in delaware,many,how_question,https://en.wikipedia.org//w/index.php?title=List_of_punishments_for_murder_in_the_United_States&amp;oldid=819417246
138,how many years is a life sentence in delaware,there is some way that many,how_question,https://en.wikipedia.org//w/index.php?title=List_of_punishments_for_murder_in_the_United_States&amp;oldid=819417246
139,when does ross live in monica's apartment,there is some point in time that ross live in monica 's apartment,when_question,https://en.wikipedia.org//w/index.php?title=Ross_Geller&amp;oldid=806425155
140,who proposed 30 different suggestions for why crime remained high in some areas,there is someone that proposed 30 different suggestions for why crime remained high in some areas,who_question,https://en.wikipedia.org//w/index.php?title=Social_disorganization_theory&amp;oldid=819230502
141,who proposed 30 different suggestions for why crime remained high in some areas,crime remained high in some areas,why_question,https://en.wikipedia.org//w/index.php?title=Social_disorganization_theory&amp;oldid=819230502
142,who proposed 30 different suggestions for why crime remained high in some areas,there is some reason that crime remained high in some areas,why_question,https://en.wikipedia.org//w/index.php?title=Social_disorganization_theory&amp;oldid=819230502
143,when does jane find out who her father is,who her father is,embedded_question,https://en.wikipedia.org//w/index.php?title=List_of_Jane_the_Virgin_episodes&amp;oldid=837466375
144,when does jane find out who her father is,who her father is,factive_clause_embedding_predicate,https://en.wikipedia.org//w/index.php?title=List_of_Jane_the_Virgin_episodes&amp;oldid=837466375
145,when does jane find out who her father is,there is someone that her father is,who_question,https://en.wikipedia.org//w/index.php?title=List_of_Jane_the_Virgin_episodes&amp;oldid=837466375
146,when does jane find out who her father is,there is some point in time that jane find out who her father is,when_question,https://en.wikipedia.org//w/index.php?title=List_of_Jane_the_Virgin_episodes&amp;oldid=837466375
147,from where does the concept of justiciability originate for the supreme court,concept of justiciability originate for the supreme court exists,definite_article,https://en.wikipedia.org//w/index.php?title=Justiciability&amp;oldid=822795809
148,from where does the concept of justiciability originate for the supreme court,concept of justiciability originate for the supreme court is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Justiciability&amp;oldid=822795809
149,from where does the concept of justiciability originate for the supreme court,supreme court exists,definite_article,https://en.wikipedia.org//w/index.php?title=Justiciability&amp;oldid=822795809
150,from where does the concept of justiciability originate for the supreme court,supreme court is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Justiciability&amp;oldid=822795809
151,from where does the concept of justiciability originate for the supreme court,there is some place that from,where_question,https://en.wikipedia.org//w/index.php?title=Justiciability&amp;oldid=822795809
152,how old is rainbow dash in my little pony,old,how_question,https://en.wikipedia.org//w/index.php?title=List_of_My_Little_Pony_(1986)_characters&amp;oldid=835983549
153,how old is rainbow dash in my little pony,there is some way that old,how_question,https://en.wikipedia.org//w/index.php?title=List_of_My_Little_Pony_(1986)_characters&amp;oldid=835983549
154,what does negan mean in the walking dead,walking exists,definite_article,https://en.wikipedia.org//w/index.php?title=Negan&amp;oldid=819383734
155,what does negan mean in the walking dead,walking is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Negan&amp;oldid=819383734
156,what does negan mean in the walking dead,there is something that does negan mean in the walking dead,what_question,https://en.wikipedia.org//w/index.php?title=Negan&amp;oldid=819383734
157,what is the stock symbol for mars candy,stock symbol for mars candy exists,definite_article,"https://en.wikipedia.org//w/index.php?title=Mars,_Incorporated&amp;oldid=838432748"
158,what is the stock symbol for mars candy,stock symbol for mars candy is contextually unique,definite_article,"https://en.wikipedia.org//w/index.php?title=Mars,_Incorporated&amp;oldid=838432748"
159,what is the stock symbol for mars candy,there is something that is the stock symbol for mars candy,what_question,"https://en.wikipedia.org//w/index.php?title=Mars,_Incorporated&amp;oldid=838432748"
160,who do the patriots play on november 5,patriots exists,definite_article,https://en.wikipedia.org//w/index.php?title=New_England_Patriots&amp;oldid=819266148
161,who do the patriots play on november 5,patriots is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=New_England_Patriots&amp;oldid=819266148
162,who do the patriots play on november 5,there is someone that do,who_question,https://en.wikipedia.org//w/index.php?title=New_England_Patriots&amp;oldid=819266148
163,who was the crackhead in menace to society,crackhead in menace exists,definite_article,https://en.wikipedia.org//w/index.php?title=Menace_II_Society&amp;oldid=815506900
164,who was the crackhead in menace to society,crackhead in menace is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Menace_II_Society&amp;oldid=815506900
165,who was the crackhead in menace to society,there is someone that was the crackhead in menace to society,who_question,https://en.wikipedia.org//w/index.php?title=Menace_II_Society&amp;oldid=815506900
166,when was the hanging gardens of babylon completed,hanging gardens of babylon exists,definite_article,https://en.wikipedia.org//w/index.php?title=Hanging_Gardens_of_Babylon&amp;oldid=816891098
167,when was the hanging gardens of babylon completed,hanging gardens of babylon is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=Hanging_Gardens_of_Babylon&amp;oldid=816891098
168,when was the hanging gardens of babylon completed,there is some point in time that was the hanging gardens of babylon,when_question,https://en.wikipedia.org//w/index.php?title=Hanging_Gardens_of_Babylon&amp;oldid=816891098
169,what is the name of the goddess of the moon,name of the goddess of the moon exists,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_lunar_deities&amp;oldid=821344224
170,what is the name of the goddess of the moon,name of the goddess of the moon is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_lunar_deities&amp;oldid=821344224
171,what is the name of the goddess of the moon,goddess of the moon exists,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_lunar_deities&amp;oldid=821344224
172,what is the name of the goddess of the moon,goddess of the moon is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_lunar_deities&amp;oldid=821344224
173,what is the name of the goddess of the moon,moon exists,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_lunar_deities&amp;oldid=821344224
174,what is the name of the goddess of the moon,moon is contextually unique,definite_article,https://en.wikipedia.org//w/index.php?title=List_of_lunar_deities&amp;oldid=821344224
175,what is the name of the goddess of the moon,there is something that is the name of the goddess of the moon,what_question,https://en.wikipedia.org//w/index.php?title=List_of_lunar_deities&amp;oldid=821344224
176,how many roles did an actor have in a play,many,how_question,https://en.wikipedia.org//w/index.php?title=Actor&amp;oldid=836109619
177,how many roles did an actor have in a play,there is some way that many,how_question,https://en.wikipedia.org//w/index.php?title=Actor&amp;oldid=836109619
